date,Tmean,Tmax
19510101,0.7,2.0
19510102,1.0,2.0
19510103,0.4,1.0
19510104,0.4,1.5
19510105,4.2,6.0
19510106,5.3,7.5
19510107,4.7,6.3
19510108,3.4,4.5
19510109,2.9,5.7
19510110,3.2,6.3
19510111,7.4,8.3
19510112,3.6,8.0
19510113,3.1,4.2
19510114,3.8,4.7
19510115,2.6,6.7
19510116,1.6,3.0
19510117,1.8,3.1
19510118,4.6,6.6
19510119,3.4,3.7
19510120,7.0,8.0
19510121,6.0,6.6
19510122,4.4,6.0
19510123,4.0,5.2
19510124,3.6,5.0
19510125,1.2,3.8
19510126,2.7,4.2
19510127,2.7,3.7
19510128,2.6,3.2
19510129,1.8,2.8
19510130,1.4,2.0
19510131,1.4,2.0
19510201,2.4,3.8
19510202,2.3,3.0
19510203,1.8,3.6
19510204,5.2,7.0
19510205,3.7,6.2
19510206,3.8,6.0
19510207,3.0,7.0
19510208,6.5,8.2
19510209,6.0,9.3
19510210,4.0,7.5
19510211,4.4,5.0
19510212,4.9,9.2
19510213,4.2,6.5
19510214,3.7,6.9
19510215,3.0,4.3
19510216,2.4,6.9
19510217,5.5,7.0
19510218,3.4,7.2
19510219,2.2,4.6
19510220,6.0,8.2
19510221,2.6,8.0
19510222,1.6,5.4
19510223,2.2,4.5
19510224,3.2,6.4
19510225,1.9,6.1
19510226,-0.1,4.3
19510227,0.1,1.8
19510228,-0.4,1.8
19510301,0.0,1.3
19510302,-1.4,0.4
19510303,-2.8,-0.5
19510304,-2.0,1.2
19510305,1.4,6.0
19510306,2.8,8.9
19510307,3.7,8.7
19510308,2.6,4.5
19510309,-0.2,3.0
19510310,3.7,6.7
19510311,3.3,5.5
19510312,6.4,9.5
19510313,7.9,12.2
19510314,6.9,10.0
19510315,6.9,11.0
19510316,8.8,12.6
19510317,13.0,15.6
19510318,8.6,12.6
19510319,6.6,10.2
19510320,2.8,5.3
19510321,1.6,5.1
19510322,3.0,6.2
19510323,11.2,14.6
19510324,2.4,13.0
19510325,0.7,4.0
19510326,1.6,3.5
19510327,4.3,6.0
19510328,1.1,4.8
19510329,0.6,5.1
19510330,4.1,7.1
19510331,2.4,4.9
19510401,6.8,9.0
19510402,4.9,8.4
19510403,4.4,8.0
19510404,7.2,11.5
19510405,8.1,12.5
19510406,9.6,13.5
19510407,8.6,14.0
19510408,4.6,7.8
19510409,4.3,8.7
19510410,4.4,8.3
19510411,2.7,7.0
19510412,5.2,9.9
19510413,7.2,9.5
19510414,3.4,8.0
19510415,5.1,9.3
19510416,11.8,17.5
19510417,9.0,14.1
19510418,10.6,15.6
19510419,14.1,19.2
19510420,6.9,13.6
19510421,8.0,13.8
19510422,7.2,12.1
19510423,11.0,16.4
19510424,13.0,19.0
19510425,16.5,22.9
19510426,12.9,17.8
19510427,10.8,13.5
19510428,3.9,10.0
19510429,4.6,7.7
19510430,5.2,9.0
19510501,11.4,16.8
19510502,15.2,19.3
19510503,15.1,21.0
19510504,10.4,15.5
19510505,11.6,15.7
19510506,14.3,19.2
19510507,11.6,15.4
19510508,10.4,14.8
19510509,10.8,15.1
19510510,10.8,14.1
19510511,10.2,14.0
19510512,9.8,14.2
19510513,13.0,17.1
19510514,7.7,13.1
19510515,6.6,8.1
19510516,7.2,9.3
19510517,10.2,13.0
19510518,11.2,16.5
19510519,15.3,20.5
19510520,11.7,15.4
19510521,13.0,18.0
19510522,12.1,18.8
19510523,17.5,22.5
19510524,21.1,26.6
19510525,18.0,22.0
19510526,17.0,21.5
19510527,11.5,16.4
19510528,12.1,16.2
19510529,13.0,17.0
19510530,12.6,16.1
19510531,15.7,19.8
19510601,12.9,19.7
19510602,11.4,16.1
19510603,13.4,17.4
19510604,14.6,19.5
19510605,16.3,21.7
19510606,15.6,20.5
19510607,17.2,22.0
19510608,16.5,21.5
19510609,16.0,22.7
19510610,12.1,16.4
19510611,14.7,18.2
19510612,16.6,23.0
19510613,15.4,19.2
19510614,20.1,25.8
19510615,19.4,25.2
19510616,18.4,22.5
19510617,17.6,21.8
19510618,14.2,21.5
19510619,13.0,16.3
19510620,16.1,20.5
19510621,19.0,24.2
19510622,18.4,23.7
19510623,15.4,19.5
19510624,12.6,14.9
19510625,12.2,16.3
19510626,12.2,15.4
19510627,12.2,15.5
19510628,14.2,18.5
19510629,14.4,18.6
19510630,14.2,19.9
19510701,15.3,19.7
19510702,18.8,23.9
19510703,19.8,25.8
19510704,19.2,25.2
19510705,13.0,17.4
19510706,16.6,21.0
19510707,19.4,25.0
19510708,17.6,24.5
19510709,17.6,21.0
19510710,20.6,25.6
19510711,20.4,27.8
19510712,16.8,21.5
19510713,18.2,23.0
19510714,18.2,24.0
19510715,14.9,18.5
19510716,13.1,15.3
19510717,16.7,21.6
19510718,19.5,23.4
19510719,18.1,22.5
19510720,18.8,23.9
19510721,17.8,22.5
19510722,18.1,25.5
19510723,16.1,20.5
19510724,12.4,15.4
19510725,12.6,14.6
19510726,13.9,17.5
19510727,17.0,22.5
19510728,19.6,26.0
19510729,22.8,27.4
19510730,21.2,25.2
19510731,23.4,29.5
19510801,21.6,27.2
19510802,20.9,25.1
19510803,20.5,27.7
19510804,16.1,21.4
19510805,16.0,21.0
19510806,18.2,25.6
19510807,18.4,21.6
19510808,16.0,18.3
19510809,13.5,15.6
19510810,13.8,18.6
19510811,15.3,19.3
19510812,15.2,20.0
19510813,15.0,19.3
19510814,12.2,17.2
19510815,15.0,20.0
19510816,16.0,19.6
19510817,16.0,21.2
19510818,18.0,23.2
19510819,20.6,25.3
19510820,14.4,20.1
19510821,15.0,17.0
19510822,15.7,21.0
19510823,16.7,21.1
19510824,18.0,22.7
19510825,15.6,19.8
19510826,16.4,21.0
19510827,15.6,20.0
19510828,18.8,24.5
19510829,21.0,26.0
19510830,19.2,28.0
19510831,14.4,16.6
19510901,14.4,18.5
19510902,14.5,18.0
19510903,14.2,17.3
19510904,16.8,21.5
19510905,18.8,23.5
19510906,19.0,24.8
19510907,20.3,25.2
19510908,18.8,22.0
19510909,19.0,23.7
19510910,19.8,25.3
19510911,21.4,26.7
19510912,21.0,26.2
19510913,20.3,26.6
19510914,13.2,19.0
19510915,16.0,20.7
19510916,15.6,20.5
19510917,12.0,16.5
19510918,11.0,15.0
19510919,11.2,14.0
19510920,9.7,14.0
19510921,9.8,15.5
19510922,12.7,18.7
19510923,15.4,17.5
19510924,12.2,16.8
19510925,15.0,19.0
19510926,13.5,16.5
19510927,11.4,15.7
19510928,12.4,17.0
19510929,13.5,17.2
19510930,12.9,15.7
19511001,13.6,14.6
19511002,12.8,14.2
19511003,11.5,16.8
19511004,11.6,15.6
19511005,11.6,15.0
19511006,10.3,15.8
19511007,6.8,12.2
19511008,7.2,12.8
19511009,8.0,13.2
19511010,7.2,13.4
19511011,5.9,10.5
19511012,6.8,13.2
19511013,10.5,17.0
19511014,10.0,16.0
19511015,7.6,14.1
19511016,8.8,14.7
19511017,7.7,13.6
19511018,7.2,10.7
19511019,6.6,12.9
19511020,7.6,10.6
19511021,9.0,13.0
19511022,6.8,8.6
19511023,5.8,8.2
19511024,6.8,7.4
19511025,8.6,10.0
19511026,8.8,10.2
19511027,8.8,13.4
19511028,9.8,13.7
19511029,10.0,14.5
19511030,11.1,13.5
19511031,9.4,12.0
19511101,6.2,7.8
19511102,7.8,8.6
