date,Tmean,Tmax
19510101,-2.0,1.0
19510102,-0.5,0.6
19510103,-0.1,1.1
19510104,1.3,2.5
19510105,4.3,6.0
19510106,3.6,5.9
19510107,4.5,7.3
19510108,3.6,5.3
19510109,3.8,6.2
19510110,1.2,3.6
19510111,6.3,7.3
19510112,4.4,7.7
19510113,3.6,5.2
19510114,2.9,5.5
19510115,3.5,4.5
19510116,2.9,5.0
19510117,5.1,7.5
19510118,4.7,7.0
19510119,4.9,5.6
19510120,2.6,5.2
19510121,-1.7,1.4
19510122,1.2,3.5
19510123,2.2,3.3
19510124,1.0,2.5
19510125,-3.4,0.4
19510126,-4.5,-3.8
19510127,-1.2,0.0
19510128,-0.8,0.9
19510129,0.2,1.0
19510130,-1.0,2.7
19510131,-3.8,-2.2
19510201,-1.4,-0.1
19510202,-1.2,0.4
19510203,-4.4,-1.9
19510204,-0.8,1.7
19510205,0.6,3.0
19510206,2.7,5.1
19510207,2.9,7.1
19510208,3.8,6.0
19510209,6.7,10.0
19510210,2.2,6.0
19510211,2.0,2.9
19510212,1.6,4.8
19510213,0.3,0.8
19510214,0.4,0.7
19510215,0.9,1.3
19510216,1.0,1.9
19510217,4.4,5.8
19510218,3.0,7.0
19510219,4.0,7.8
19510220,4.6,7.0
19510221,4.3,7.5
19510222,3.2,6.6
19510223,2.6,5.4
19510224,2.1,4.6
19510225,1.3,6.0
19510226,-0.4,0.6
19510227,0.7,3.3
19510228,-0.6,0.8
19510301,0.2,2.8
19510302,-0.6,0.7
19510303,0.0,2.9
19510304,-1.3,3.9
19510305,-0.2,2.1
19510306,0.3,4.0
19510307,-0.2,4.0
19510308,0.0,3.4
19510309,-0.4,1.4
19510310,-1.1,0.1
19510311,0.2,2.8
19510312,3.0,5.6
19510313,8.2,13.6
19510314,7.6,11.8
19510315,4.4,7.3
19510316,5.1,9.5
19510317,7.2,10.3
19510318,8.4,11.6
19510319,2.2,8.0
19510320,0.3,5.2
19510321,0.3,6.0
19510322,4.4,5.9
19510323,5.7,8.6
19510324,3.0,5.4
19510325,1.2,5.4
19510326,-0.5,3.3
19510327,0.5,4.0
19510328,0.4,3.8
19510329,1.1,4.3
19510330,2.3,6.8
19510331,4.6,9.8
19510401,5.7,9.0
19510402,7.0,11.8
19510403,3.9,7.6
19510404,7.4,11.6
19510405,5.8,11.7
19510406,7.7,12.3
19510407,9.4,16.2
19510408,6.0,10.2
19510409,7.8,12.6
19510410,5.4,7.5
19510411,3.6,8.0
19510412,7.6,10.4
19510413,7.8,14.0
19510414,3.4,8.3
